StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q51_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q25,Q26,Q27_1,Q27_2,Q27_3,Q28_1,Q28_2,Q28_3,Q29,Q30_1,Q31,Q32,Q32_9_TEXT,Q33,Q33_9_TEXT,Q34,Q35,Q36,Q37,Q37_5_TEXT,Q38,Q39,Q40,Q41,Q42,Q43,Q44_1,Q45,Q46,Q51_1 - Sentiment,Q51_1 - Sentiment Score,Q51_1 - Sentiment Polarity,Q51_1 - Topics
2019-06-11 12:13:31,2019-06-11 13:40:46,IP Address,134.48.163.217,100,5235,True,2019-06-11 13:40:47,R_TcjMs50YCayuenD,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,13,12,4,7,10,12,7,Mental Demand,Performance,Mental Demand,Frustration,Effort,Frustration,Performance,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Somewhat familiar,Somewhat unfamiliar,Somewhat poorly,Neither well nor poorly,Very poorly,Neither useful nor useless,Neither useful nor useless,Neither useful nor useless,Neither,34,No,White,,Male,,Bachelor's degree,Unmarried/Single,Self-employed,Other (please specify),Journalism,"$25,000 to $34,999",No,No,No,Somewhat agree,Neither agree nor disagree,4,Somewhat Libertarian,Somewhat fiscally conservative,Neutral,0,0,Unknown
2019-06-11 13:55:56,2019-06-11 14:17:20,IP Address,134.48.162.132,100,1283,True,2019-06-11 14:17:21,R_2fIn07Me4QPjxwl,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,7,10,0,4,8,7,6,Mental Demand,Performance,Performance,Temporal Demand,Effort,Frustration,Performance,Performance,Temporal Demand,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Somewhat familiar,Somewhat familiar,Neither well nor poorly,Neither well nor poorly,Somewhat well,Neither useful nor useless,Somewhat useful,Somewhat useful,Both,20,No,White,,Female,,Currently enrolled in college,Unmarried/Single,Part-time employment,For-profit company or business,,"$150,000 or more",Yes,No,Yes,Strongly agree,Agree,5,Somewhat Libertarian,Neutral,Neutral,0,0,Unknown
2019-06-11 14:30:41,2019-06-11 15:57:38,IP Address,134.48.162.132,100,5216,True,2019-06-11 15:57:39,R_qR9K3hP8MfD1miB,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,10,5,0,0,15,5,0,Mental Demand,Performance,Mental Demand,Temporal Demand,Mental Demand,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Temporal Demand,Effort,Mental Demand,Mental Demand,Very unfamiliar,Somewhat familiar,Very poorly,Neither well nor poorly,Neither well nor poorly,Neither useful nor useless,Neither useful nor useless,Neither useful nor useless,Neither,26,No,White,,Male,,Bachelor's degree,Unmarried/Single,Full-time employment,For-profit company or business,,"$50,000 to $74,999",No,No,No,Somewhat agree,Somewhat agree,7,Libertarian,Fiscally conservative,Neutral,0,0,Unknown
2019-06-11 16:30:23,2019-06-11 16:48:35,IP Address,134.48.163.130,100,1091,True,2019-06-11 16:48:36,R_1QykFb71ay9clXB,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,16,8,0,6,12,12,8,Mental Demand,Performance,Performance,Temporal Demand,Mental Demand,Frustration,Performance,Performance,Temporal Demand,Temporal Demand,Effort,Temporal Demand,Effort,Mental Demand,Temporal Demand,Somewhat familiar,Somewhat familiar,Somewhat poorly,Somewhat poorly,Neither well nor poorly,Neither useful nor useless,Neither useful nor useless,Somewhat useful,Both,25,No,White,,Female,,Doctorate degree,Unmarried/Single,Full-time employment,Government (including law enforcement),,"$50,000 to $74,999",No,Yes,No,Somewhat agree,Agree,1,Libertarian,Somewhat fiscally Liberal,Positive,1,0,Unknown
2019-06-12 08:52:39,2019-06-12 09:54:19,IP Address,134.48.162.192,100,3699,True,2019-06-12 09:54:20,R_tQCXSF4ZwGtxcSl,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,22,10,1,1,7,5,4,Mental Demand,Performance,Mental Demand,Frustration,Mental Demand,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Very unfamiliar,Very unfamiliar,Very poorly,Neither well nor poorly,Neither well nor poorly,Neither useful nor useless,Neither useful nor useless,Neither useful nor useless,Neither,21,No,White,,Male,,High school diploma or GED,Unmarried/Single,Full-time employment,For-profit company or business,,"$75,000 to $99,999",Yes,No,Yes,Somewhat agree,Agree,5,Neutral,Highly fiscally conservative,Neutral,0,0,Unknown
2019-06-12 10:22:53,2019-06-12 12:00:30,IP Address,134.48.162.192,100,5856,True,2019-06-12 12:00:30,R_bKiR7fpnCQ5yhyx,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,19,10,0,3,12,15,2,Mental Demand,Performance,Mental Demand,Temporal Demand,Effort,Physical Demand,Performance,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Very unfamiliar,Very unfamiliar,Very poorly,Somewhat poorly,Somewhat poorly,Somewhat useful,Very useful,Very useful,Both,21,No,White,,Female,,Currently enrolled in college,Unmarried/Single,Part-time employment,For-profit company or business,,"Less than $25,000",Yes,No,No,Somewhat agree,Agree,5,Somewhat Authoritarian,Neutral,Positive,1,0,Unknown
2019-06-12 12:11:31,2019-06-12 13:22:32,IP Address,134.48.162.192,100,4261,True,2019-06-12 13:22:33,R_3dYfCJAEomRZ7ke,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,20,8,1,0,11,7,3,Mental Demand,Frustration,Mental Demand,Temporal Demand,Mental Demand,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Temporal Demand,Effort,Mental Demand,Mental Demand,Very unfamiliar,Very unfamiliar,Very poorly,Neither well nor poorly,Very well,Very useless,Somewhat useful,Somewhat useful,Neither,21,No,White,,Female,,Currently enrolled in college,Unmarried/Single,Student,Other (please specify),University,"$150,000 or more",No,Yes,Yes,Somewhat agree,Somewhat agree,4,Somewhat Libertarian,Somewhat fiscally conservative,Neutral,0,0,Unknown
2019-06-12 12:18:17,2019-06-12 13:23:56,IP Address,134.48.163.130,100,3939,True,2019-06-12 13:23:57,R_1DTrN9ipAkw1en1,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,17,4,1,2,17,4,1,Mental Demand,Frustration,Mental Demand,Frustration,Effort,Frustration,Effort,Performance,Effort,Temporal Demand,Frustration,Temporal Demand,Effort,Mental Demand,Mental Demand,Neutral,Very familiar,Somewhat poorly,Somewhat poorly,Somewhat well,Neither useful nor useless,Neither useful nor useless,Very useful,Both,21,No,White,,Female,,Currently enrolled in college,Unmarried/Single,Student,For-profit company or business,,"Less than $25,000",Yes,No,No,Somewhat disagree,Somewhat disagree,1,Somewhat Libertarian,Somewhat fiscally conservative,Negative,-1,0,Unknown
2019-06-12 13:37:15,2019-06-12 15:52:48,IP Address,134.48.161.65,100,8133,True,2019-06-12 15:52:49,R_POPKcrBO7t5gNMd,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,18,7,2,3,17,3,2,Mental Demand,Performance,Performance,Temporal Demand,Effort,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Somewhat familiar,Somewhat familiar,Neither well nor poorly,Somewhat poorly,Very poorly,Neither useful nor useless,Neither useful nor useless,Somewhat useless,Neither,27,No,White,,Male,,Bachelor's degree,Unmarried/Single,Full-time employment,Government (including law enforcement),,"$50,000 to $74,999",No,No,No,Somewhat agree,Somewhat agree,4,Libertarian,Fiscally conservative,Neutral,0,0,Unknown
2019-06-13 12:41:58,2019-06-13 13:18:29,IP Address,134.48.162.192,100,2190,True,2019-06-13 13:18:29,R_2Qyc4HLaSkcohQF,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,23,5,1,3,13,3,1,Mental Demand,Performance,Mental Demand,Temporal Demand,Mental Demand,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Somewhat unfamiliar,Very unfamiliar,Very poorly,Very poorly,Very poorly,Somewhat useless,Somewhat useful,Neither useful nor useless,MPD,21,No,East Asian,,Female,,Currently enrolled in college,Unmarried/Single,Student,For-profit company or business,,"$25,000 to $34,999",No,No,No,Somewhat agree,Somewhat agree,5,Neutral,Neutral,Neutral,0,0,Unknown
2019-06-13 14:11:40,2019-06-13 14:35:25,IP Address,134.48.160.177,100,1424,True,2019-06-13 14:35:25,R_3phYVOAEJOTHViW,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,15,7,1,5,12,6,9,Mental Demand,Performance,Mental Demand,Temporal Demand,Effort,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Somewhat unfamiliar,Somewhat unfamiliar,Very poorly,Very poorly,Neither well nor poorly,Neither useful nor useless,Neither useful nor useless,Somewhat useful,Neither,20,No,"White,Black or African American",,Female,,Some college,Unmarried/Single,Student,Not currently employed,,"Less than $25,000",No,No,Yes,Agree,Somewhat agree,2,Somewhat Libertarian,Fiscally Liberal,Neutral,0,0,Unknown
2019-06-13 13:36:41,2019-06-13 15:52:57,IP Address,134.48.162.192,100,8176,True,2019-06-13 15:52:58,R_2B5O3sl8WZdNr1q,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,24,1,1,1,14,1,1,Mental Demand,Performance,Performance,Frustration,Effort,Frustration,Performance,Physical Demand,Effort,Temporal Demand,Effort,Performance,Physical Demand,Mental Demand,Temporal Demand,Very unfamiliar,Neutral,Very poorly,Somewhat well,Somewhat poorly,Very useless,Somewhat useful,Somewhat useless,Neither,21,No,White,,Male,,Some college,Unmarried/Single,Retired,Government (including law enforcement),,"Less than $25,000",Yes,No,Yes,Somewhat agree,Agree,8,Libertarian,Highly fiscally conservative,Positive,1,0,Unknown
2019-06-14 13:50:04,2019-06-14 14:32:16,IP Address,134.48.162.192,100,2531,True,2019-06-14 14:32:16,R_083YJWBNjWzjmPn,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,25,8,2,4,17,10,18,Mental Demand,Frustration,Mental Demand,Frustration,Mental Demand,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Neutral,Somewhat unfamiliar,Very poorly,Very poorly,Very poorly,Somewhat useful,Neither useful nor useless,Somewhat useful,Neither,23,No,White,,Female,,Currently enrolled in college,Unmarried/Single,Student,For-profit company or business,,"Less than $25,000",No,No,No,Strongly agree,Somewhat agree,0,Somewhat Libertarian,Somewhat fiscally conservative,Neutral,0,0,Unknown
2019-06-17 07:53:25,2019-06-17 08:09:46,IP Address,134.48.163.210,100,980,True,2019-06-17 08:09:47,R_2R7IAUT1XOhOjxP,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,26,7,1,8,11,5,1,Mental Demand,Performance,Mental Demand,Temporal Demand,Effort,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Temporal Demand,Effort,Mental Demand,Mental Demand,Very unfamiliar,Very unfamiliar,Very poorly,Neither well nor poorly,Neither well nor poorly,Neither useful nor useless,Neither useful nor useless,Neither useful nor useless,Neither,21,No,East Asian,,Female,,Currently enrolled in college,Unmarried/Single,Student,For-profit company or business,,"$75,000 to $99,999",No,No,No,Agree,Agree,2,Somewhat Authoritarian,Somewhat fiscally Liberal,Positive,1,0,Unknown
2019-06-17 08:26:36,2019-06-17 09:31:31,IP Address,134.48.163.210,100,3894,True,2019-06-17 09:31:32,R_2AGqyHIioluuMkK,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,14,4,0,2,2,4,0,Mental Demand,Performance,Mental Demand,Temporal Demand,Mental Demand,Frustration,Effort,Performance,Temporal Demand,Temporal Demand,Effort,Temporal Demand,Effort,Mental Demand,Mental Demand,Very unfamiliar,Very unfamiliar,Very poorly,Very poorly,Very poorly,Somewhat useless,Somewhat useless,Somewhat useless,Neither,21,Yes,White,,Female,,Currently enrolled in college,Unmarried/Single,Part-time employment,For-profit company or business,,"$50,000 to $74,999",No,Yes,No,Somewhat disagree,Strongly agree,5,Somewhat Libertarian,Fiscally conservative,Positive,1,0,Unknown
2019-06-17 12:43:35,2019-06-17 13:17:49,IP Address,134.48.163.210,100,2054,True,2019-06-17 13:17:49,R_25ZoDRKUz5HAopO,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,27,7,1,1,5,7,1,Mental Demand,Performance,Mental Demand,Temporal Demand,Mental Demand,Physical Demand,Effort,Performance,Temporal Demand,Temporal Demand,Effort,Temporal Demand,Effort,Mental Demand,Mental Demand,Very unfamiliar,Somewhat unfamiliar,Very poorly,Very poorly,Somewhat poorly,Neither useful nor useless,Neither useful nor useless,Somewhat useful,Neither,21,Yes,White,,Female,,Currently enrolled in college,Unmarried/Single,Student,Not currently employed,,"$35,000 to $49,999",No,Yes,No,Somewhat agree,Somewhat agree,3,Somewhat Libertarian,Somewhat fiscally Liberal,Neutral,0,0,Unknown
2019-06-17 15:23:36,2019-06-17 17:18:54,IP Address,134.48.162.239,100,6917,True,2019-06-17 17:18:54,R_2rYmyI8N9W5Mkmh,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,28,3,1,10,18,2,1,Mental Demand,Performance,Mental Demand,Temporal Demand,Effort,Frustration,Effort,Performance,Temporal Demand,Temporal Demand,Frustration,Performance,Effort,Mental Demand,Mental Demand,Very unfamiliar,Somewhat unfamiliar,Somewhat poorly,Somewhat poorly,Somewhat well,Somewhat useful,Neither useful nor useless,Neither useful nor useless,Neither,28,Yes,"White,Central American Native, South American Native, Chicano, or Mestizo",,Female,,Bachelor's degree,Unmarried/Single,Part-time employment,For-profit company or business,,"Less than $25,000",No,No,Yes,Agree,Neither agree nor disagree,1,Somewhat Authoritarian,Somewhat fiscally Liberal,Neutral,0,0,Unknown
2019-06-18 10:23:06,2019-06-18 10:49:00,IP Address,134.48.163.210,100,1553,True,2019-06-18 10:49:01,R_27882mSrjxTnpZA,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,30,13,2,10,11,13,15,Mental Demand,Frustration,Mental Demand,Temporal Demand,Effort,Frustration,Effort,Performance,Temporal Demand,Temporal Demand,Effort,Temporal Demand,Effort,Mental Demand,Mental Demand,Somewhat familiar,Somewhat unfamiliar,Neither well nor poorly,Somewhat well,Very well,Very useful,Somewhat useful,Very useful,Neither,20,No,White,,Female,,Currently enrolled in college,Unmarried/Single,Student,Not currently employed,,"Less than $25,000",No,Yes,Yes,Somewhat agree,Somewhat disagree,5,Neutral,Fiscally Liberal,Neutral,0,0,Unknown
